[NO1-A-1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
160,-3.366000,-186.968782,-1.595610
161,-3.364000,-175.373818,-1.496657
162,-3.362000,-178.272559,-1.521395
163,-3.360000,-210.158708,-1.793515
164,-3.358000,-224.652412,-1.917206
165,-3.356000,-242.044857,-2.065635
166,-3.354000,-221.753671,-1.892468
167,-3.352000,-198.563745,-1.694562
168,-3.350000,-181.171300,-1.546134
169,-3.348000,-160.880114,-1.372967
170,-3.346000,-169.576337,-1.447181
171,-3.344000,-198.563745,-1.694562
172,-3.342000,-218.854930,-1.867729
173,-3.340000,-227.551153,-1.941944
174,-3.338000,-224.652412,-1.917206
175,-3.336000,-181.171300,-1.546134
176,-3.334000,-169.576337,-1.447181
177,-3.332000,-163.778855,-1.397705
178,-3.330000,-178.272559,-1.521395
179,-3.328000,-207.259967,-1.768777
180,-3.326000,-218.854930,-1.867729
181,-3.324000,-221.753671,-1.892468
182,-3.322000,-189.867522,-1.620348
183,-3.320000,-169.576337,-1.447181
184,-3.318000,-175.373818,-1.496657
185,-3.316000,-184.070041,-1.570872
186,-3.314000,-210.158708,-1.793515
187,-3.312000,-233.348634,-1.991420
188,-3.310000,-221.753671,-1.892468
189,-3.308000,-207.259967,-1.768777
190,-3.306000,-204.361226,-1.744039
191,-3.304000,-192.766263,-1.645086
192,-3.302000,-201.462486,-1.719301
193,-3.300000,-207.259967,-1.768777
194,-3.298000,-198.563745,-1.694562
195,-3.296000,-192.766263,-1.645086
196,-3.294000,-210.158708,-1.793515
197,-3.292000,-204.361226,-1.744039
198,-3.290000,-201.462486,-1.719301
199,-3.288000,-184.070041,-1.570872
200,-3.286000,-181.171300,-1.546134
201,-3.284000,-178.272559,-1.521395
202,-3.282000,-181.171300,-1.546134
203,-3.280000,-192.766263,-1.645086
204,-3.278000,-213.057449,-1.818253
205,-3.276000,-224.652412,-1.917206
206,-3.274000,-227.551153,-1.941944
207,-3.272000,-215.956190,-1.842991
208,-3.270000,-186.968782,-1.595610
209,-3.268000,-175.373818,-1.496657
210,-3.266000,-186.968782,-1.595610
211,-3.264000,-204.361226,-1.744039
212,-3.262000,-215.956190,-1.842991
213,-3.260000,-227.551153,-1.941944
214,-3.258000,-218.854930,-1.867729
215,-3.256000,-204.361226,-1.744039
216,-3.254000,-172.475078,-1.471919
217,-3.252000,-157.981374,-1.348229
218,-3.250000,-178.272559,-1.521395
219,-3.248000,-204.361226,-1.744039
220,-3.246000,-221.753671,-1.892468
221,-3.244000,-227.551153,-1.941944
222,-3.242000,-218.854930,-1.867729
223,-3.240000,-175.373818,-1.496657
224,-3.238000,-157.981374,-1.348229
225,-3.236000,-163.778855,-1.397705
226,-3.234000,-195.665004,-1.669824
227,-3.232000,-221.753671,-1.892468
228,-3.230000,-236.247375,-2.016158
229,-3.228000,-233.348634,-1.991420
230,-3.226000,-189.867522,-1.620348
231,-3.224000,-160.880114,-1.372967
232,-3.222000,-146.386410,-1.249276
233,-3.220000,-172.475078,-1.471919
234,-3.218000,-215.956190,-1.842991
235,-3.216000,-239.146116,-2.040896
236,-3.214000,-227.551153,-1.941944
237,-3.212000,-213.057449,-1.818253
238,-3.210000,-178.272559,-1.521395
239,-3.208000,-157.981374,-1.348229
240,-3.206000,-169.576337,-1.447181
241,-3.204000,-207.259967,-1.768777
242,-3.202000,-242.044857,-2.065635
243,-3.200000,-242.044857,-2.065635
244,-3.198000,-213.057449,-1.818253
245,-3.196000,-181.171300,-1.546134
246,-3.194000,-152.183892,-1.298752
247,-3.192000,-146.386410,-1.249276
248,-3.190000,-189.867522,-1.620348
249,-3.188000,-221.753671,-1.892468
250,-3.186000,-244.943598,-2.090373
251,-3.184000,-233.348634,-1.991420
252,-3.182000,-204.361226,-1.744039
253,-3.180000,-181.171300,-1.546134
254,-3.178000,-169.576337,-1.447181
255,-3.176000,-178.272559,-1.521395
256,-3.174000,-201.462486,-1.719301
257,-3.172000,-218.854930,-1.867729
258,-3.170000,-230.449894,-1.966682
259,-3.168000,-218.854930,-1.867729
260,-3.166000,-201.462486,-1.719301
261,-3.164000,-184.070041,-1.570872
262,-3.162000,-166.677596,-1.422443
263,-3.160000,-172.475078,-1.471919
264,-3.158000,-184.070041,-1.570872
265,-3.156000,-215.956190,-1.842991
266,-3.154000,-227.551153,-1.941944
267,-3.152000,-221.753671,-1.892468
268,-3.150000,-189.867522,-1.620348
269,-3.148000,-189.867522,-1.620348
270,-3.146000,-186.968782,-1.595610
271,-3.144000,-198.563745,-1.694562
272,-3.142000,-210.158708,-1.793515
273,-3.140000,-221.753671,-1.892468
274,-3.138000,-224.652412,-1.917206
275,-3.136000,-210.158708,-1.793515
276,-3.134000,-186.968782,-1.595610
277,-3.132000,-181.171300,-1.546134
278,-3.130000,-184.070041,-1.570872
279,-3.128000,-195.665004,-1.669824
280,-3.126000,-207.259967,-1.768777
281,-3.124000,-198.563745,-1.694562
282,-3.122000,-192.766263,-1.645086
283,-3.120000,-192.766263,-1.645086
284,-3.118000,-201.462486,-1.719301
285,-3.116000,-192.766263,-1.645086
286,-3.114000,-207.259967,-1.768777
287,-3.112000,-198.563745,-1.694562
288,-3.110000,-198.563745,-1.694562
289,-3.108000,-178.272559,-1.521395
290,-3.106000,-169.576337,-1.447181
291,-3.104000,-178.272559,-1.521395
292,-3.102000,-195.665004,-1.669824
293,-3.100000,-204.361226,-1.744039
294,-3.098000,-198.563745,-1.694562
295,-3.096000,-198.563745,-1.694562
296,-3.094000,-201.462486,-1.719301
297,-3.092000,-195.665004,-1.669824
298,-3.090000,-186.968782,-1.595610
299,-3.088000,-184.070041,-1.570872
300,-3.086000,-195.665004,-1.669824
301,-3.084000,-201.462486,-1.719301
302,-3.082000,-204.361226,-1.744039
303,-3.080000,-215.956190,-1.842991
304,-3.078000,-198.563745,-1.694562
305,-3.076000,-189.867522,-1.620348
306,-3.074000,-181.171300,-1.546134
307,-3.072000,-184.070041,-1.570872
308,-3.070000,-207.259967,-1.768777
309,-3.068000,-215.956190,-1.842991
310,-3.066000,-215.956190,-1.842991
311,-3.064000,-201.462486,-1.719301
312,-3.062000,-192.766263,-1.645086
313,-3.060000,-192.766263,-1.645086
314,-3.058000,-198.563745,-1.694562
315,-3.056000,-207.259967,-1.768777
316,-3.054000,-210.158708,-1.793515
317,-3.052000,-201.462486,-1.719301
318,-3.050000,-198.563745,-1.694562
319,-3.048000,-189.867522,-1.620348
320,-3.046000,-189.867522,-1.620348
321,-3.044000,-201.462486,-1.719301
322,-3.042000,-204.361226,-1.744039
323,-3.040000,-184.070041,-1.570872
324,-3.038000,-189.867522,-1.620348
325,-3.036000,-166.677596,-1.422443
326,-3.034000,-186.968782,-1.595610
327,-3.032000,-207.259967,-1.768777
328,-3.030000,-230.449894,-1.966682
329,-3.028000,-221.753671,-1.892468
330,-3.026000,-204.361226,-1.744039
331,-3.024000,-189.867522,-1.620348
332,-3.022000,-186.968782,-1.595610
333,-3.020000,-184.070041,-1.570872
334,-3.018000,-201.462486,-1.719301
335,-3.016000,-215.956190,-1.842991
336,-3.014000,-218.854930,-1.867729
337,-3.012000,-195.665004,-1.669824
338,-3.010000,-181.171300,-1.546134
339,-3.008000,-175.373818,-1.496657
340,-3.006000,-178.272559,-1.521395
341,-3.004000,-201.462486,-1.719301
342,-3.002000,-224.652412,-1.917206
343,-3.000000,-224.652412,-1.917206
344,-2.998000,-210.158708,-1.793515
345,-2.996000,-192.766263,-1.645086
346,-2.994000,-175.373818,-1.496657
347,-2.992000,-169.576337,-1.447181
348,-2.990000,-169.576337,-1.447181
349,-2.988000,-195.665004,-1.669824
350,-2.986000,-215.956190,-1.842991
351,-2.984000,-221.753671,-1.892468
352,-2.982000,-213.057449,-1.818253
353,-2.980000,-207.259967,-1.768777
354,-2.978000,-169.576337,-1.447181
355,-2.976000,-178.272559,-1.521395
356,-2.974000,-192.766263,-1.645086
357,-2.972000,-210.158708,-1.793515
358,-2.970000,-239.146116,-2.040896
359,-2.968000,-236.247375,-2.016158
360,-2.966000,-221.753671,-1.892468
361,-2.964000,-189.867522,-1.620348
362,-2.962000,-157.981374,-1.348229
363,-2.960000,-155.082633,-1.323490
364,-2.958000,-186.968782,-1.595610
365,-2.956000,-230.449894,-1.966682
366,-2.954000,-239.146116,-2.040896
367,-2.952000,-224.652412,-1.917206
368,-2.950000,-198.563745,-1.694562
369,-2.948000,-178.272559,-1.521395
370,-2.946000,-178.272559,-1.521395
371,-2.944000,-186.968782,-1.595610
372,-2.942000,-204.361226,-1.744039
373,-2.940000,-230.449894,-1.966682
374,-2.938000,-213.057449,-1.818253
375,-2.936000,-215.956190,-1.842991
376,-2.934000,-198.563745,-1.694562
377,-2.932000,-186.968782,-1.595610
378,-2.930000,-172.475078,-1.471919
379,-2.928000,-169.576337,-1.447181
380,-2.926000,-189.867522,-1.620348
381,-2.924000,-204.361226,-1.744039
382,-2.922000,-218.854930,-1.867729
383,-2.920000,-218.854930,-1.867729
384,-2.918000,-204.361226,-1.744039
385,-2.916000,-172.475078,-1.471919
386,-2.914000,-169.576337,-1.447181
387,-2.912000,-181.171300,-1.546134
388,-2.910000,-178.272559,-1.521395
389,-2.908000,-204.361226,-1.744039
390,-2.906000,-198.563745,-1.694562
391,-2.904000,-201.462486,-1.719301
392,-2.902000,-192.766263,-1.645086
393,-2.900000,-175.373818,-1.496657
394,-2.898000,-189.867522,-1.620348
395,-2.896000,-210.158708,-1.793515
396,-2.894000,-224.652412,-1.917206
397,-2.892000,-218.854930,-1.867729
398,-2.890000,-215.956190,-1.842991
399,-2.888000,-189.867522,-1.620348
400,-2.886000,-172.475078,-1.471919
401,-2.884000,-166.677596,-1.422443
402,-2.882000,-181.171300,-1.546134
403,-2.880000,-204.361226,-1.744039
404,-2.878000,-213.057449,-1.818253
405,-2.876000,-227.551153,-1.941944
406,-2.874000,-204.361226,-1.744039
407,-2.872000,-181.171300,-1.546134
408,-2.870000,-169.576337,-1.447181
409,-2.868000,-186.968782,-1.595610
410,-2.866000,-224.652412,-1.917206
411,-2.864000,-236.247375,-2.016158
