[NO1-A-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
229,-3.342000,-94.209076,-0.803989
230,-3.340000,-100.006558,-0.853466
231,-3.338000,-123.196484,-1.051371
232,-3.336000,-146.386410,-1.249276
233,-3.334000,-166.677596,-1.422443
234,-3.332000,-155.082633,-1.323490
235,-3.330000,-123.196484,-1.051371
236,-3.328000,-105.804039,-0.902942
237,-3.326000,-91.310335,-0.779251
238,-3.324000,-111.601521,-0.952418
239,-3.322000,-134.791447,-1.150323
240,-3.320000,-166.677596,-1.422443
241,-3.318000,-152.183892,-1.298752
242,-3.316000,-137.690188,-1.175062
243,-3.314000,-105.804039,-0.902942
244,-3.312000,-97.107817,-0.828728
245,-3.310000,-102.905298,-0.878204
246,-3.308000,-108.702780,-0.927680
247,-3.306000,-131.892706,-1.125585
248,-3.304000,-131.892706,-1.125585
249,-3.302000,-128.993966,-1.100847
250,-3.300000,-126.095225,-1.076109
251,-3.298000,-120.297743,-1.026633
252,-3.296000,-111.601521,-0.952418
253,-3.294000,-105.804039,-0.902942
254,-3.292000,-126.095225,-1.076109
255,-3.290000,-149.285151,-1.274014
256,-3.288000,-160.880114,-1.372967
257,-3.286000,-152.183892,-1.298752
258,-3.284000,-134.791447,-1.150323
259,-3.282000,-100.006558,-0.853466
260,-3.280000,-91.310335,-0.779251
261,-3.278000,-102.905298,-0.878204
262,-3.276000,-126.095225,-1.076109
263,-3.274000,-149.285151,-1.274014
264,-3.272000,-140.588929,-1.199800
265,-3.270000,-131.892706,-1.125585
266,-3.268000,-105.804039,-0.902942
267,-3.266000,-108.702780,-0.927680
268,-3.264000,-111.601521,-0.952418
269,-3.262000,-126.095225,-1.076109
270,-3.260000,-140.588929,-1.199800
271,-3.258000,-146.386410,-1.249276
272,-3.256000,-134.791447,-1.150323
273,-3.254000,-131.892706,-1.125585
274,-3.252000,-120.297743,-1.026633
275,-3.250000,-102.905298,-0.878204
276,-3.248000,-105.804039,-0.902942
277,-3.246000,-123.196484,-1.051371
278,-3.244000,-146.386410,-1.249276
279,-3.242000,-152.183892,-1.298752
280,-3.240000,-140.588929,-1.199800
281,-3.238000,-123.196484,-1.051371
282,-3.236000,-120.297743,-1.026633
283,-3.234000,-114.500262,-0.977156
284,-3.232000,-102.905298,-0.878204
285,-3.230000,-126.095225,-1.076109
